题型,提干,选项,选项数量,答案 ,解析,年份,书本名称,书本小标题,章节,题帽
单选题,0实际工程中应用较多的疏水器类型是（　 ）。,"A、浮筒式,B、热动力式,C、波纹管,D、倒吊桶式",4,A,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,1复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,C,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,2复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,B,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,3复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,C,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,4复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,D,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,5复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,A,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,6复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,D,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,7复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,A,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,8复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,B,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,9复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,C,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,10复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,D,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,11复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,B,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,12复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,D,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
单选题,13复杂项目，投标人无法在规定工期内独立完成的，投标人在中标后可（　 ）部分工程给其他承包商，但需在投标文件中载明。,"A、转包,B、分包,C、分割,D、转手",4,A,,2017,全国注册资询工程师（投资）执业资格考试,复习题解及模拟试卷,第九章,一、考试要求与内容辅导
